iter	Passed	Remaining
444	1185	1478
445	1187	1475
446	1190	1472
447	1192	1469
448	1195	1466
449	1197	1464
450	1200	1461
451	1202	1458
452	1205	1455
453	1207	1452
454	1210	1449
455	1213	1447
456	1216	1445
457	1220	1443
458	1224	1443
459	1227	1440
460	1232	1441
461	1235	1438
462	1237	1435
463	1240	1432
464	1242	1429
465	1245	1426
466	1247	1423
467	1250	1421
468	1252	1418
469	1255	1415
470	1257	1412
471	1260	1409
472	1262	1406
473	1264	1403
474	1267	1400
475	1269	1397
476	1272	1394
477	1274	1392
478	1277	1389
479	1279	1386
480	1282	1383
481	1284	1380
482	1287	1377
483	1289	1375
484	1293	1373
485	1295	1370
486	1298	1367
487	1300	1364
488	1303	1362
489	1305	1358
490	1308	1356
491	1310	1353
492	1313	1350
493	1316	1348
494	1318	1345
495	1320	1342
496	1323	1339
497	1326	1336
498	1328	1333
499	1330	1330
500	1333	1328
501	1336	1325
502	1338	1322
503	1341	1320
504	1343	1317
505	1346	1314
506	1349	1311
507	1351	1309
508	1354	1306
509	1356	1303
510	1359	1300
511	1361	1298
512	1364	1295
513	1366	1292
514	1369	1289
515	1371	1286
516	1374	1284
517	1377	1281
518	1379	1278
519	1382	1276
520	1385	1273
521	1387	1270
522	1390	1267
523	1392	1265
524	1395	1262
525	1397	1259
526	1400	1256
527	1402	1253
528	1405	1251
529	1407	1248
530	1410	1245
531	1413	1243
532	1416	1240
533	1419	1238
534	1421	1235
535	1424	1233
536	1427	1230
537	1430	1228
538	1432	1225
539	1435	1222
540	1438	1220
541	1440	1217
542	1443	1214
543	1445	1211
544	1448	1209
545	1450	1206
546	1453	1203
547	1455	1200
548	1458	1197
549	1460	1195
550	1463	1192
551	1465	1189
552	1468	1186
553	1470	1183
554	1472	1181
555	1475	1178
556	1477	1175
557	1480	1172
558	1483	1170
559	1485	1167
560	1488	1164
561	1490	1161
562	1493	1159
563	1496	1156
564	1498	1153
565	1501	1151
566	1503	1148
567	1506	1145
568	1508	1142
569	1510	1139
570	1513	1137
571	1516	1134
572	1518	1131
573	1521	1128
574	1523	1125
575	1525	1123
576	1528	1120
577	1530	1117
578	1533	1114
579	1535	1112
580	1538	1109
581	1540	1106
582	1543	1103
583	1545	1101
584	1548	1098
585	1550	1095
586	1553	1092
587	1555	1089
588	1558	1087
589	1560	1084
590	1563	1081
591	1565	1078
592	1567	1076
593	1570	1073
594	1573	1070
595	1575	1068
596	1578	1065
597	1580	1062
598	1583	1059
599	1585	1057
600	1588	1054
601	1590	1051
602	1593	1049
603	1595	1046
604	1598	1043
605	1601	1040
606	1603	1038
607	1606	1035
608	1608	1032
609	1611	1030
610	1613	1027
611	1615	1024
612	1618	1021
613	1620	1018
614	1623	1016
615	1625	1013
616	1628	1010
617	1630	1007
618	1633	1005
619	1635	1002
620	1638	999
621	1640	997
622	1643	994
623	1645	991
624	1647	988
625	1650	985
626	1652	983
627	1655	980
628	1658	978
629	1660	975
630	1663	972
631	1665	969
632	1668	967
633	1671	964
634	1673	961
635	1676	959
636	1678	956
637	1681	953
638	1683	950
639	1685	948
640	1688	945
641	1690	942
642	1693	940
643	1695	937
644	1698	934
645	1700	931
646	1703	929
647	1705	926
648	1708	923
649	1710	921
650	1713	918
651	1715	915
652	1718	913
653	1720	910
654	1723	907
655	1725	904
656	1728	902
657	1730	899
658	1733	896
659	1735	894
660	1737	891
661	1740	888
662	1742	885
663	1745	883
664	1747	880
665	1750	877
666	1752	875
667	1755	872
668	1757	869
669	1760	867
670	1762	864
671	1765	861
672	1767	859
673	1770	856
674	1772	853
675	1775	850
676	1778	848
677	1780	845
678	1783	842
679	1785	840
680	1788	837
681	1790	834
682	1793	832
683	1796	829
684	1798	827
685	1800	824
686	1803	821
687	1805	818
688	1808	816
689	1811	813
690	1813	811
691	1816	808
692	1818	805
693	1820	802
694	1823	800
695	1825	797
696	1828	794
697	1830	791
698	1833	789
699	1835	786
700	1838	784
701	1840	781
702	1843	778
703	1845	776
704	1848	773
705	1850	770
706	1853	768
707	1855	765
708	1857	762
709	1860	759
710	1863	757
711	1865	754
712	1868	751
713	1870	749
714	1873	746
715	1875	743
716	1878	741
717	1880	738
718	1883	735
719	1885	733
720	1888	730
721	1890	728
722	1893	725
723	1895	722
724	1898	720
725	1900	717
726	1903	714
727	1905	711
728	1908	709
729	1910	706
730	1913	703
731	1915	701
732	1918	698
733	1920	696
734	1923	693
735	1926	690
736	1928	688
737	1931	685
738	1933	682
739	1936	680
740	1938	677
741	1941	675
742	1943	672
743	1946	669
744	1948	667
745	1951	664
746	1953	661
747	1956	659
748	1958	656
749	1961	653
750	1964	651
751	1966	648
752	1969	645
753	1971	643
754	1974	640
755	1976	637
756	1979	635
757	1981	632
758	1984	630
759	1986	627
760	1988	624
761	1991	622
762	1993	619
763	1996	616
764	1999	614
765	2001	611
766	2004	608
767	2006	606
768	2009	603
769	2011	600
770	2014	598
771	2016	595
772	2019	593
773	2021	590
774	2024	587
775	2026	585
776	2029	582
777	2031	579
778	2034	577
779	2036	574
780	2039	571
781	2041	569
782	2044	566
783	2047	563
784	2050	561
785	2053	559
786	2055	556
787	2058	553
788	2060	551
789	2063	548
790	2065	545
791	2068	543
792	2070	540
793	2073	537
794	2075	535
795	2078	532
796	2081	530
797	2083	527
798	2086	524
799	2089	522
800	2091	519
801	2093	516
802	2096	514
803	2098	511
804	2101	509
805	2104	506
806	2106	503
807	2108	501
808	2111	498
809	2113	495
810	2116	493
811	2118	490
812	2121	487
813	2124	485
814	2126	482
815	2128	480
816	2131	477
817	2133	474
818	2136	472
819	2138	469
820	2141	466
821	2144	464
822	2146	461
823	2149	459
824	2152	456
825	2154	453
826	2157	451
827	2159	448
828	2162	445
829	2164	443
830	2167	440
