iter	Logloss
382	0.6107907329
383	0.610596323
384	0.6104271827
385	0.6102751369
386	0.6102028043
387	0.6100162249
388	0.6097227693
389	0.6096011722
390	0.6093653729
391	0.6092620698
392	0.6090480875
393	0.6089800358
394	0.6088252329
395	0.6085631673
396	0.6083423784
397	0.608196072
398	0.6080453983
399	0.6078019545
400	0.6075355842
401	0.6074021235
402	0.6071803547
403	0.6070540748
404	0.6069141384
405	0.6067141368
406	0.6066531764
407	0.6064356144
408	0.6062854191
409	0.6061662719
410	0.6059862212
411	0.6056496046
412	0.6054016252
413	0.6053070187
414	0.6051223785
415	0.6049589773
416	0.6048725488
417	0.6046939666
418	0.604555332
419	0.6043829197
420	0.6042820007
421	0.6042036769
422	0.6039568835
423	0.6038434473
424	0.6036623602
425	0.603433889
426	0.603340246
427	0.6031227486
428	0.6029853268
429	0.6026782174
430	0.6025664885
431	0.6022262339
432	0.6019068275
433	0.6016619009
434	0.6013799177
435	0.6012165765
436	0.6010127116
437	0.6009571265
438	0.6006873085
439	0.6003620457
440	0.6001526538
441	0.6000454419
442	0.5998870911
443	0.5995923253
444	0.5994372112
445	0.5993216119
446	0.5991743377
447	0.5990305475
448	0.5989180466
449	0.5987500644
450	0.5985552447
451	0.5981889361
452	0.597997902
453	0.5978856105
454	0.5978192072
455	0.5975657855
456	0.5974525153
457	0.5972853107
458	0.5970665832
459	0.5968047633
460	0.596666418
461	0.5964974496
462	0.5964377452
463	0.5962081285
464	0.596037797
465	0.5957502188
466	0.5955932891
467	0.5953341915
468	0.5952416189
469	0.5949480402
470	0.5946479319
471	0.5944551013
472	0.5942777771
473	0.5940103254
474	0.5938372567
475	0.5935964659
476	0.593300753
477	0.5932087431
478	0.5930232208
479	0.5928445865
480	0.59253074
481	0.5922623277
482	0.5920479335
483	0.5919379204
484	0.5917625218
485	0.5916838612
486	0.5915381236
487	0.5914093948
488	0.5911876554
489	0.5909778373
490	0.5906832026
491	0.5905197692
492	0.5902866422
493	0.5901839541
494	0.5899770744
495	0.5897904744
496	0.5896143946
497	0.5894892727
498	0.5893411772
499	0.5892204374
500	0.5888943761
501	0.5887212541
502	0.5885578203
503	0.5884411493
504	0.5881886763
505	0.5879046541
506	0.5877029452
507	0.5873885995
508	0.5872487793
509	0.5870525139
510	0.5868611077
511	0.5867706666
512	0.5865986811
513	0.5864738597
514	0.5862177728
515	0.5859929213
516	0.5857612633
517	0.5855336148
518	0.5853128417
519	0.5851485357
520	0.5849737911
521	0.5847078089
522	0.5844982074
523	0.5843591357
524	0.5841730645
525	0.584001119
526	0.5837761399
527	0.5836342336
528	0.5834909002
529	0.5833765327
530	0.5829845708
531	0.5828035406
532	0.5824836441
533	0.5821339562
534	0.5818479266
535	0.5816915848
536	0.5816156722
537	0.5814662442
538	0.5813071487
539	0.5812120305
540	0.5808619423
541	0.5807328019
542	0.580540478
543	0.5802756273
544	0.5801266363
545	0.5798972561
546	0.5796175008
547	0.5793399655
548	0.579181712
549	0.5789710456
550	0.5787631508
551	0.5786004412
552	0.5783720773
553	0.5781608194
554	0.5779336956
555	0.5776943647
556	0.577494013
557	0.5772933286
558	0.5771417969
559	0.5769839094
560	0.576789369
561	0.5766983831
562	0.5765608111
563	0.5763768635
564	0.5760504365
565	0.5757833928
566	0.5756312148
567	0.5754243369
568	0.5752717338
569	0.5750902015
570	0.5747952106
571	0.5745509912
572	0.5743718624
573	0.5741990255
574	0.5740527872
575	0.5738333813
576	0.5736812131
577	0.5733140876
578	0.5731985231
579	0.5729884654
580	0.5728359516
581	0.572732622
582	0.5725198083
583	0.5723373942
584	0.5721292815
585	0.5719994486
586	0.5718458113
587	0.5716067478
588	0.5714692789
589	0.5711198444
590	0.5709337333
591	0.5707656007
592	0.5705706949
593	0.5704021504
594	0.5702325134
595	0.57006709
596	0.5699193998
597	0.5697109814
598	0.5695993198
599	0.5693862807
600	0.5690882269
601	0.568936324
602	0.5687500045
603	0.5685820394
604	0.5683101844
605	0.5681965603
606	0.5678206252
607	0.5676048827
608	0.5673247692
609	0.5670605476
610	0.5669045873
611	0.5666570435
612	0.5664967281
613	0.5660844526
614	0.5659170164
615	0.5657670466
616	0.5656153965
617	0.5653368085
618	0.5649589643
619	0.564808016
620	0.5645122579
621	0.5642185712
622	0.5640124266
623	0.5637899094
624	0.5635902891
625	0.5634041253
626	0.5632218055
627	0.5629266353
628	0.5626870433
629	0.5623668599
630	0.5620225856
631	0.5615755819
632	0.5614337908
633	0.5612349393
634	0.5611321466
635	0.5610019209
636	0.5607693897
637	0.5604165389
638	0.5601741097
639	0.5597539007
640	0.5595251916
641	0.5592294688
642	0.5590452597
643	0.5587454156
644	0.5585170058
645	0.5582440687
646	0.5579257805
647	0.5576699567
648	0.5575038484
649	0.5572813495
650	0.5570952608
651	0.5568113608
652	0.5565381388
653	0.5563307152
654	0.5561724976
655	0.5560068972
656	0.5558940407
657	0.5557301586
658	0.5555706902
659	0.5553750171
660	0.5551546593
661	0.5548968722
662	0.5545356901
663	0.5543206043
664	0.5540797933
665	0.5538709756
666	0.5534722152
667	0.5532736183
668	0.5530497662
669	0.5528886051
670	0.5524584128
671	0.5521518814
672	0.5518946743
673	0.5516206445
674	0.5513999871
675	0.5511737463
676	0.5508946259
677	0.5505519303
678	0.5502064221
679	0.5500148695
680	0.5497736308
681	0.5494538978
682	0.5492828
683	0.5490334412
684	0.5488153843
685	0.5486381506
686	0.5484533601
687	0.5482935743
688	0.5481474541
689	0.547947439
690	0.5477492697
691	0.547581381
692	0.5473488678
693	0.5470899458
694	0.5469354262
695	0.546769673
696	0.5465955966
697	0.5463180699
698	0.5461111419
699	0.5458586303
700	0.5455514316
701	0.5453710914
702	0.5450048288
703	0.5449111761
704	0.5446023983
705	0.5443196251
706	0.5441677095
707	0.5439149795
708	0.5435929186
709	0.5433247883
710	0.5431390741
711	0.5429597891
712	0.5426216159
713	0.5423636082
714	0.5421759968
715	0.5417676701
716	0.5415737092
717	0.5412403565
718	0.5408991681
719	0.5406127539
720	0.5404409285
721	0.5400415257
722	0.5398897014
723	0.5396206975
724	0.5393810865
725	0.539125182
726	0.5389141332
727	0.5385581439
728	0.5382803229
729	0.5381591741
730	0.537956056
731	0.5378332118
732	0.5376026345
733	0.5373970243
734	0.5372540735
735	0.5369884631
736	0.5367006472
737	0.5364444268
738	0.5361821185
739	0.5359407246
740	0.5356181989
741	0.5353697908
742	0.5351854615
743	0.5350726401
744	0.534820925
745	0.5347247299
746	0.5345018833
747	0.5341512942
748	0.5339908771
749	0.5337792312
750	0.5334590793
751	0.5332748838
752	0.5329400926
753	0.5326640549
754	0.5325701433
755	0.5323893157
756	0.5320915604
757	0.5318301095
758	0.5316343737
759	0.5313825764
760	0.5311534636
761	0.5309884725
762	0.5308223117
763	0.5306689589
764	0.5303481786
765	0.5300246332
766	0.5297193675
767	0.5293920031
768	0.5291618331
769	0.5290350948
770	0.5287031224
771	0.5285801015
772	0.5282622725
773	0.5280031943
774	0.5277470857
775	0.5275276973
776	0.5272976898
777	0.5269160699
778	0.5267568208
779	0.5264735852
780	0.5261138527
781	0.5259736349
782	0.5256111323
783	0.5254493757
784	0.5253358985
785	0.5252293471
786	0.525062549
787	0.5246619344
788	0.524419407
789	0.5242800749
790	0.5239730152
791	0.5235641846
792	0.5232076628
793	0.5229944125
794	0.5228722784
795	0.5226661285
796	0.5225221673
797	0.5223184024
798	0.5220918027
799	0.5220187653
800	0.5217462996
801	0.5214017442
802	0.5211765016
803	0.5208677471
804	0.5206774609
805	0.5204672024
806	0.520223101
807	0.5199624849
808	0.5198421978
809	0.5196895288
810	0.5195740499
811	0.5192910356
812	0.5189399552
813	0.5185033949
814	0.5184281755
815	0.518307636
816	0.5180777727
817	0.5177748655
818	0.5176239752
819	0.517446938
820	0.5170637355
821	0.516947447
822	0.5168156041
823	0.5165608258
824	0.5163720032
825	0.516208604
826	0.5159328879
827	0.5156859258
828	0.5155010277
829	0.5152997374
830	0.5151568769
831	0.5148766862
832	0.5148287532
833	0.5146551169
834	0.5144622594
835	0.5142783262
836	0.5140495116
837	0.5137950552
838	0.5136085752
839	0.5134053043
840	0.513235313
841	0.5130867183
842	0.5128882095
843	0.5127742252
844	0.5125620522
845	0.5123453604
846	0.5121307072
847	0.5117688769
848	0.5116003492
849	0.5114274751
850	0.5112521579
851	0.5111407533
852	0.510988199
853	0.5107419535
854	0.5105757778
855	0.5104313841
856	0.5102076615
857	0.5100608686
858	0.5098218416
859	0.5096030853
860	0.5094285795
861	0.5091418888
862	0.508929631
863	0.5087692887
864	0.5085755784
865	0.5083485323
866	0.508025695
867	0.5077769116
868	0.5075371053
869	0.5074175863
870	0.5071127734
871	0.5069127469
872	0.5067063265
873	0.5065894535
874	0.5063913999
875	0.5062292251
876	0.5060873089
877	0.5059730614
878	0.5058032085
879	0.5056421006
880	0.5053483754
881	0.5050837287
882	0.5048803326
883	0.5046638541
884	0.5045172306
885	0.504316513
886	0.5039442179
887	0.5036836183
888	0.5035057159
889	0.5032657186
890	0.5031464874
891	0.5029619121
892	0.5026782254
893	0.5024473797
894	0.5022830894
895	0.5021880921
896	0.5020485461
897	0.5018890917
898	0.5016961213
899	0.501527636
900	0.5012374874
901	0.5009948865
902	0.5008373703
903	0.5006953275
904	0.5004701523
905	0.5003714973
906	0.5002449753
907	0.4999600094
908	0.4998146832
909	0.4996397527
910	0.4995551443
911	0.4993546858
912	0.4992105895
913	0.4989133405
914	0.4987883529
915	0.498560716
916	0.4982696461
917	0.4981409131
918	0.497901973
919	0.497743676
920	0.4975115658
921	0.4973193483
922	0.4970115054
923	0.4967680459
924	0.4965956456
925	0.49633125
926	0.4960955232
927	0.4958815411
928	0.4957074015
929	0.4954888421
930	0.4952800559
931	0.4951834162
932	0.4950617458
933	0.4949456872
934	0.4948388915
935	0.4946613223
936	0.4945632919
937	0.49439322
938	0.4940509582
939	0.4938778633
940	0.4937590859
941	0.493584327
942	0.4933559835
943	0.4931680905
944	0.4930323354
945	0.4929077899
946	0.4926731781
947	0.4924667219
948	0.4923130376
949	0.4919305975
950	0.4918377824
951	0.4917096154
952	0.4915762088
953	0.4915062858
954	0.4912837557
955	0.4909295598
956	0.4907491145
957	0.4905595118
958	0.4902792416
959	0.4901889973
960	0.48988075
961	0.4896333031
962	0.4894001305
963	0.4890942432
964	0.4888871352
965	0.4886978309
966	0.4885631552
967	0.4884740312
968	0.488253797
969	0.4881482786
970	0.4880223984
971	0.4878929453
972	0.4877949368
973	0.4877052127
974	0.4874359298
975	0.4870734206
976	0.4869719293
977	0.4867602618
978	0.4866360877
979	0.4864936577
980	0.4863167663
981	0.4861892891
982	0.4860553823
983	0.4858898459
984	0.4857511237
985	0.4856184559
986	0.4854999319
987	0.4853428766
988	0.4851230953
989	0.4849257436
990	0.4847525375
991	0.4846433656
992	0.484487145
993	0.4841619353
994	0.4840071724
995	0.4838112826
996	0.4836719474
997	0.4835256444
998	0.4833853133
999	0.4831474812
